ID,Country,Organization,Certificate/Badge,Category,Subcategory,Level,Price status,Conditions,Exam/Assessment,Duration,Language,Available from Russia,Validity,Credly/Verification,LinkedIn,Official URL,Priority,Completion status,Review status,Last reviewed
AI-001,International,IBM SkillsBuild,AI Literacy,AI,AI literacy,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-002,International,IBM SkillsBuild,AI Fundamentals: Foundations for Understanding AI,AI,AI fundamentals,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-003,International,IBM SkillsBuild,Artificial Intelligence Fundamentals,AI,AI/ML,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-004,International,IBM SkillsBuild,AI Fundamentals: Language and Vision in AI,AI,NLP/CV,Intermediate,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-005,International,IBM SkillsBuild,Generative AI Essentials: Using LLMs to Work with Data,AI,GenAI/LLM,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-006,International,IBM SkillsBuild,Getting Started with Generative AI,AI,GenAI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-007,International,IBM SkillsBuild,Craft Precise Prompts for AI Models,AI,Prompt engineering,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-008,International,IBM SkillsBuild,Intelligent by Design: Build an AI Agent,AI,AI agents,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-009,International,IBM SkillsBuild,Make Agentic AI Work for You,AI,Agentic AI,Beginner,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
AI-010,International,IBM SkillsBuild,Retrieval-Augmented Generation for Enhanced AI Outputs,AI,RAG,Advanced,✅ 0 ₽,Issuer-specific requirements; see official page,Course/assessment,Varies,EN/RU where offered,Unknown,Varies,Issuer-defined; Credly if stated,Usually shareable,https://skillsbuild.org/learning-catalog,A,Не начато,Current-catalog signal,2026-08-31
