provider_id,organization,country,domains,official_url,free_learning,free_credential,source_status,last_checked,check_after_days,next_check
P-001,IBM,United States,AI;Cybersecurity;Data;Cloud;Software;Quantum,https://skillsbuild.org/learning-catalog,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-002,AWS,United States,Cloud;AI;Machine Learning;Security;Robotics;Quantum,https://aws.amazon.com/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-003,Google Cloud,United States,Cloud;AI;Data;Security;Networking,https://www.cloudskillsboost.google/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-004,Google for Developers,United States,Android;Web;Firebase;AI;Chrome;Maps;Flutter,https://developers.google.com/profile/badges,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-005,Microsoft,United States,AI;Cloud;Security;Developer;Data;DevOps,https://learn.microsoft.com/credentials/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-006,GitHub,United States,Git;Open Source;AI;Developer Productivity,https://learn.github.com/certifications,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-007,Cisco,United States,Networking;Cybersecurity;IoT;Python;AI,https://www.netacad.com/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-008,Linux Foundation,United States,Linux;Kubernetes;Cloud Native;Open Source;Security;Observability;Supply Chain,https://training.linuxfoundation.org/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-009,Red Hat,United States,Linux;Automation;Kubernetes;OpenShift;Security,https://www.redhat.com/en/services/certification,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-010,Fortinet,United States,Cybersecurity;Networking;Cloud Security;OT,https://www.fortinet.com/training-certification,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-011,Kaspersky,Russia,Cybersecurity;Endpoint;Threat Intelligence,https://certification.kaspersky.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-012,Positive Technologies,Russia,Cybersecurity;AppSec;Pentest;Security Operations,https://edu.ptsecurity.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-013,RЭД СОФТ,Russia,Linux;Databases;Virtualization;Secure Software,https://education.red-soft.ru/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-014,Группа Астра,Russia,Linux;Infrastructure;Virtualization;Enterprise IT,https://astra.ru/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-015,1C,Russia,ERP;Business Software;Accounting;Development,https://1c.ru/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-016,Т-Банк Education,Russia,AI;Python;Algorithms;Mobile;Cybersecurity;Data,https://education.tbank.ru/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-017,Нетология,Russia,AI;Python;Analytics;IT;System Analysis,https://netology.ru/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-018,Stepik,Russia,Python;Math;Programming;IT;Data,https://stepik.org/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-019,Открытое образование,Russia,Mathematics;Physics;Engineering;CS,https://openedu.ru/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-020,HubSpot Academy,United States,Marketing Technology;CRM;AI;APIs;Analytics,https://academy.hubspot.com/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-021,Salesforce Trailhead,United States,AI;CRM;Data;Development;Security,https://trailhead.salesforce.com/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-022,Raspberry Pi Foundation,United Kingdom,Python;AI;Electronics;Physical Computing;Embedded,https://training-hub.raspberrypi.org/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-023,NVIDIA,United States,AI;GPU;Deep Learning;Generative AI;Robotics,https://www.nvidia.com/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-024,Oracle,United States,Cloud;Java;Database;AI;ERP,https://www.oracle.com/education/certification/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-025,SAP,Germany,ERP;Cloud;Data;Business Technology;AI,https://learning.sap.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-026,MongoDB,United States,Database;Developer;Data Platform,https://learn.mongodb.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-027,Postman,United States,API;Testing;Integration;Developer Productivity,https://academy.postman.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-028,HashiCorp,United States,Terraform;Vault;Consul;Boundary;Cloud Engineering,https://developer.hashicorp.com/certifications,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-029,Elastic,United States,Search;Observability;Security;Data Engineering,https://www.elastic.co/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-030,Datadog,United States,Observability;Security;Cloud;SRE,https://learn.datadoghq.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-031,GitLab,United States,DevSecOps;Git;CI/CD;Source Control,https://about.gitlab.com/learn/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-032,JFrog,United States,DevOps;Artifacts;Supply Chain Security,https://academy.jfrog.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-033,Docker,United States,Containers;Developer Tools;Cloud Native,https://www.docker.com/education/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-034,Kubernetes,Global,Containers;Orchestration;Cloud Native,https://kubernetes.io/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-035,CNCF,Global,Cloud Native;Kubernetes;Service Mesh;Observability,https://www.cncf.io/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-036,OpenSSF,Global,Software Security;Supply Chain;Open Source,https://openssf.org/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-037,OpenTofu,Global,Infrastructure as Code;DevOps,https://opentofu.org/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-038,OpenTelemetry,Global,Observability;Telemetry;SRE,https://opentelemetry.io/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-039,Grafana Labs,Sweden,Observability;Metrics;Logs;Tracing,https://grafana.com/training/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-040,Prometheus,Global,Monitoring;Observability,https://prometheus.io/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-041,Ansible,United States,Automation;Configuration Management;DevOps,https://www.ansible.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-042,JFrog Academy,United States,DevOps;Artifact Management;Security,https://academy.jfrog.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-043,Broadcom VMware,United States,Virtualization;Cloud;Networking;Security,https://www.vmware.com/learning.html,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-044,Juniper Networks,United States,Networking;Security;Cloud,https://www.juniper.net/us/en/training/certification.html,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-045,Palo Alto Networks,United States,Cybersecurity;Cloud Security;SOC,https://www.paloaltonetworks.com/services/education,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-046,Check Point,Israel,Cybersecurity;Network Security,https://www.checkpoint.com/services/training-and-certification/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-047,Splunk,United States,SIEM;Observability;Security Analytics,https://www.splunk.com/en_us/training.html,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-048,CrowdStrike,United States,Endpoint Security;Threat Intelligence;Cloud Security,https://www.crowdstrike.com/services/education/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-049,Cloudflare,United States,Networking;Web Security;Zero Trust;Performance,https://www.cloudflare.com/learning/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-050,Akamai,United States,CDN;Web Security;Networking,https://www.akamai.com/learn,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-051,ISC2,Global,Cybersecurity;Security Management,https://www.isc2.org/certifications,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-052,ISACA,United States,Audit;Governance;Cybersecurity;Risk,https://www.isaca.org/credentialing,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-053,EC-Council,United States,Cybersecurity;Ethical Hacking;Forensics,https://www.eccouncil.org/train-certify/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-054,CompTIA,United States,IT;Cybersecurity;Networking;Cloud,https://www.comptia.org/certifications,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-055,PECB,Canada,ISO;Cybersecurity;Privacy;Risk,https://pecb.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-056,BSI,United Kingdom,Standards;Quality;Cybersecurity;Supply Chain,https://www.bsigroup.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-057,NIST,United States,Cybersecurity;AI;Risk;Standards,https://www.nist.gov/,confirmed,source-only,active,2026-08-31,90,2026-11-29
P-058,OWASP,Global,Web Security;Application Security;Testing,https://owasp.org/,confirmed,source-only,active,2026-08-31,90,2026-11-29
P-059,SANS Institute,United States,Cybersecurity;Forensics;Blue Team;Red Team,https://www.sans.org/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-060,PortSwigger,United Kingdom,Web Security;Burp Suite,https://portswigger.net/web-security,confirmed,source-only,active,2026-08-31,90,2026-11-29
P-061,TryHackMe,United Kingdom,Cybersecurity;SOC;Pentest,https://tryhackme.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-062,Hack The Box,Malta,Cybersecurity;Pentest;Red Team,https://academy.hackthebox.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-063,Kaggle,United States,Data Science;Machine Learning;AI,https://www.kaggle.com/learn,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-064,fast.ai,United States,Deep Learning;AI,https://course.fast.ai/,confirmed,source-only,active,2026-08-31,90,2026-11-29
P-065,DeepLearning.AI,United States,AI;LLM;Agents;Deep Learning,https://www.deeplearning.ai/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-066,Hugging Face,United States/France,LLM;NLP;Computer Vision;Datasets,https://huggingface.co/learn,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-067,OpenAI Academy,United States,AI;LLM;Agents,https://academy.openai.com/,confirmed,confirmed,active,2026-08-31,90,2026-11-29
P-068,Anthropic,United States,Claude;AI;Agents,https://www.anthropic.com/,confirmed,conditional,active,2026-08-31,90,2026-11-29
P-069,Databricks,United States,Data Engineering;Lakehouse;AI;ML,https://www.databricks.com/learn,confirmed,conditional,active,2026-08-31,90,2026-11-29
